First Name,Last Name,Email,Country,Application Date,Yoe,Seniority,Technology,Code Challenge Score,Technical Interview Score
Greg,Brown,garciamelissa@example.org,Ecuador,2021-07-07,5,Senior,SQL,6.9,7.9
Angelica,Buchanan,robincarroll@example.com,Colombia,2024-12-26,1,Mid,Java,7.1,6.7
Janet,Watson,hmiles@example.org,Ecuador,2024-11-16,5,Senior,Data Engineering,8.1,2.3
Alexandra,Rubio,andrew72@example.org,Colombia,2023-01-11,12,Mid,JavaScript,3.5,2.7
Kevin,Kelly,vgolden@example.com,Mexico,2022-05-17,13,Senior,Data Engineering,2.1,4.6
Robert,Garcia,shafferkathleen@example.com,USA,2020-05-03,10,Senior,JavaScript,4.9,8.5
Shaun,Conrad,jday@example.com,Ecuador,2022-05-16,12,Junior,Data Engineering,1.4,7.2
Leah,Mays,josephjohnson@example.net,Brazil,2020-07-11,5,Mid,C++,7.3,5.7
Travis,Yoder,denise47@example.com,Colombia,2021-05-06,7,Mid,Data Engineering,8.2,0.9
Andrea,Morgan,rachel41@example.net,Ecuador,2022-11-30,14,Senior,JavaScript,0.6,7.0
Johnny,Johnson,santosmackenzie@example.net,Mexico,2024-01-11,8,Junior,JavaScript,3.0,8.3
Johnny,Young,jhawkins@example.com,Ecuador,2024-12-01,2,Senior,JavaScript,2.2,3.2
Amber,Mccullough,xcortez@example.com,Argentina,2021-09-10,11,Junior,Data Engineering,7.7,9.9
Jeffery,Hendrix,tinacarter@example.net,Ecuador,2024-09-24,2,Senior,JavaScript,9.5,4.1
Christopher,Ross,brownsharon@example.org,Argentina,2021-04-24,6,Mid,SQL,6.7,3.2
Christopher,Donaldson,samuelesparza@example.com,Mexico,2022-01-23,5,Mid,Java,8.8,3.1
Susan,Lawrence,emily90@example.com,Mexico,2020-03-09,5,Mid,C++,9.1,9.7
John,White,leachtiffany@example.net,Brazil,2022-03-25,9,Mid,Java,0.3,2.3
Lauren,Allen,bwilcox@example.org,Colombia,2020-01-04,0,Junior,SQL,7.8,0.9
Kaitlyn,Marshall,costasamantha@example.com,Colombia,2021-11-20,4,Senior,SQL,10.0,4.0
Reginald,Wilson,obutler@example.net,Brazil,2023-04-15,4,Lead,JavaScript,6.3,5.7
Christian,Khan,melodyconway@example.org,USA,2022-04-03,14,Mid,JavaScript,9.0,3.1
Stephanie,Gibbs,charles28@example.com,Argentina,2023-06-02,8,Senior,SQL,3.0,1.6
Michael,Baker,ljensen@example.com,USA,2020-07-19,4,Lead,Java,8.0,0.9
Cassandra,Johnson,martinezchristopher@example.com,Colombia,2023-08-02,4,Junior,JavaScript,7.1,8.2
Jean,Hill,davenportalyssa@example.com,Ecuador,2023-03-21,10,Lead,C++,4.1,2.4
Jose,Brewer,rharris@example.net,Colombia,2020-01-12,12,Senior,SQL,9.4,4.9
Jonathan,Riley,alexanderray@example.org,Colombia,2024-05-11,1,Junior,JavaScript,0.2,4.2
Christopher,Payne,amberfrederick@example.org,Brazil,2024-09-20,1,Mid,C++,0.8,9.4
Kenneth,Conner,emilyvillanueva@example.com,USA,2023-06-25,2,Mid,C++,9.4,4.0
Frank,Campbell,rstewart@example.net,Colombia,2023-06-13,9,Junior,JavaScript,7.3,7.4
Christopher,Williams,stacygonzalez@example.net,Mexico,2024-07-28,13,Junior,Data Engineering,8.1,1.0
Robert,Carter,onguyen@example.org,Mexico,2024-04-19,3,Senior,JavaScript,2.1,8.6
Rachel,Pruitt,sandersdaryl@example.net,Brazil,2020-01-25,6,Senior,C++,8.2,4.8
Janet,Parker,chapmanronald@example.net,Mexico,2020-07-18,7,Junior,Data Engineering,6.2,4.5
David,Hernandez,daniel42@example.org,Brazil,2023-09-15,9,Mid,JavaScript,3.4,3.1
Michael,Lowe,byrdchristopher@example.com,Brazil,2022-02-18,10,Senior,C++,8.9,5.7
Ashley,Garza,xthomas@example.org,Argentina,2021-12-21,9,Senior,SQL,4.4,4.0
Brooke,Jones,guerrerobrandon@example.com,Colombia,2021-02-06,2,Mid,Data Engineering,0.4,6.7
Julia,Williams,dunlapjeremy@example.net,Brazil,2024-06-19,12,Lead,C++,1.9,2.4
Jeffrey,Garcia,michelle10@example.com,Brazil,2020-04-15,2,Senior,Java,6.0,9.5
Breanna,Jones,mandyboyd@example.org,Argentina,2022-08-22,15,Lead,C++,8.3,9.8
Peter,Cook,taylor98@example.net,USA,2020-02-13,11,Senior,Java,2.0,6.2
Kevin,Reid,martinezsean@example.org,Mexico,2023-12-11,11,Senior,Data Engineering,5.2,7.7
Veronica,Hawkins,douglas27@example.com,USA,2023-06-10,4,Senior,Java,0.0,0.1
Dean,Rodriguez,vtaylor@example.org,Argentina,2022-01-23,2,Junior,Java,2.9,0.8
Richard,Perkins,sjackson@example.org,Argentina,2023-04-22,8,Junior,SQL,4.0,8.7
Marcus,Charles,amandarodriguez@example.com,Colombia,2024-08-06,9,Mid,C++,2.4,9.4
Robert,Gonzalez,cynthianash@example.net,Mexico,2023-04-20,4,Lead,Data Engineering,4.1,1.9
Isaac,White,brian10@example.org,USA,2021-08-11,1,Lead,SQL,8.5,0.8
Dominique,Taylor,parkssylvia@example.net,Ecuador,2020-02-10,3,Mid,Data Engineering,8.6,5.7
Brent,Hicks,stephanie53@example.net,Brazil,2020-10-06,6,Junior,Data Engineering,7.1,8.3
Samantha,Adams,ywilliams@example.net,Colombia,2022-04-28,3,Mid,Java,0.3,3.2
Samuel,Christensen,hking@example.org,Ecuador,2022-04-22,8,Mid,JavaScript,3.9,4.6
Ashley,Ramirez,olsonphillip@example.net,USA,2021-11-16,15,Junior,C++,1.8,8.3
Jeffrey,Villa,andrew60@example.net,USA,2023-04-27,0,Mid,Python,9.8,1.2
Jacob,Robertson,bblack@example.net,Colombia,2023-02-17,5,Senior,C++,5.2,2.5
Laura,Little,umarsh@example.org,Mexico,2023-07-10,1,Junior,Java,9.1,5.4
Sarah,Morales,ppalmer@example.net,Ecuador,2023-01-13,3,Lead,Java,2.6,4.8
Destiny,Vargas,markhurley@example.com,Mexico,2021-12-03,11,Junior,JavaScript,2.0,8.4
Olivia,Howard,reevesjessica@example.org,Argentina,2022-09-13,15,Mid,JavaScript,7.7,3.3
Samuel,Hays,xgreen@example.com,Brazil,2024-10-10,4,Senior,Data Engineering,5.2,1.2
Kimberly,Porter,rogerchurch@example.org,USA,2022-03-05,11,Senior,Java,7.0,4.6
Valerie,Nunez,rmason@example.net,Ecuador,2024-09-19,4,Mid,SQL,1.7,7.4
Emily,Farrell,kimberlypierce@example.net,USA,2024-11-09,2,Mid,C++,2.8,9.8
James,Blair,chadclay@example.org,Brazil,2020-02-21,7,Senior,SQL,7.5,2.3
Paul,Watson,garywebb@example.com,Argentina,2020-12-08,4,Junior,Data Engineering,3.4,7.6
Sharon,Doyle,brianpaul@example.org,Argentina,2022-06-18,8,Lead,Python,4.9,2.0
Anthony,Dean,johnsonvictor@example.org,Ecuador,2020-06-10,5,Junior,Data Engineering,9.6,4.1
Jerry,Chase,wilsonteresa@example.org,USA,2021-05-14,10,Senior,Java,8.7,1.6
Travis,Powell,aaronsingh@example.org,Argentina,2021-10-25,7,Lead,C++,1.5,9.9
Jason,Baldwin,mccormickvanessa@example.net,USA,2024-10-25,6,Junior,Data Engineering,8.1,7.6
Sonya,Norris,vargasjulie@example.net,Colombia,2024-06-04,4,Lead,Data Engineering,5.2,9.5
Shawn,Moyer,ehaynes@example.org,Brazil,2021-03-26,7,Mid,C++,0.6,0.1
Michelle,Allen,phowell@example.net,Argentina,2024-10-01,1,Senior,Java,8.8,2.1
Christian,Holland,westjulie@example.net,Ecuador,2020-01-20,4,Mid,Java,5.9,0.2
Andrew,Jensen,jgarcia@example.net,Brazil,2021-06-02,1,Lead,Data Engineering,4.2,0.4
Vincent,Brown,brownrobert@example.net,Colombia,2020-03-29,1,Junior,C++,3.9,8.6
Ian,Sims,andrewmyers@example.net,Argentina,2020-11-01,4,Junior,SQL,8.5,7.9
Robert,Collins,pauljackson@example.com,USA,2021-03-03,2,Junior,Data Engineering,4.8,2.3
Albert,Stanley,pdawson@example.com,Brazil,2021-07-09,3,Mid,SQL,3.7,9.3
Heather,Morales,benjaminchristine@example.net,USA,2022-03-09,13,Mid,Python,6.9,0.5
Sherry,Gray,mary29@example.com,Ecuador,2023-08-23,8,Lead,Java,7.1,8.4
Lisa,Cardenas,wtrujillo@example.org,Colombia,2023-04-09,0,Senior,SQL,9.6,2.3
Gina,Spence,gregory97@example.net,Ecuador,2022-09-23,4,Senior,SQL,1.4,9.5
Matthew,Manning,jamesfernandez@example.com,USA,2022-01-07,12,Lead,Python,3.2,8.0
Michelle,Johnson,gfarley@example.net,Colombia,2023-03-24,1,Senior,SQL,8.0,6.8
Dennis,Grant,lopezcassidy@example.net,USA,2020-09-24,12,Lead,Java,9.8,5.4
Charles,Sanchez,mckenzie31@example.net,Colombia,2021-05-31,0,Junior,C++,4.7,8.9
Heather,Robles,fsparks@example.org,Ecuador,2021-12-10,1,Senior,Data Engineering,6.6,7.0
David,Moore,katherinephillips@example.net,Ecuador,2020-05-21,1,Senior,Python,4.2,8.3
John,Barker,justinyoung@example.net,Ecuador,2024-08-28,10,Junior,Python,6.2,3.0
Victoria,Garcia,leecrystal@example.net,Colombia,2022-03-20,7,Lead,Java,5.6,1.3
Kathryn,Hawkins,susanallen@example.org,Colombia,2024-03-16,9,Junior,Java,2.4,3.1
Elizabeth,Fernandez,hortonrebecca@example.com,Brazil,2024-02-14,13,Senior,SQL,6.4,0.9
Amber,Richardson,anthonychase@example.org,Argentina,2021-07-09,13,Senior,JavaScript,1.2,0.2
John,Cline,xwalls@example.org,Brazil,2020-01-09,5,Mid,Java,1.4,3.3
Shane,Patterson,jordanshelley@example.net,Ecuador,2022-12-05,10,Senior,Data Engineering,4.4,1.3
Ryan,Pacheco,allentracey@example.net,Argentina,2023-07-25,2,Junior,JavaScript,1.5,7.8
Lisa,Lopez,michael82@example.net,Brazil,2024-03-05,5,Senior,C++,6.4,0.5
Lindsay,Adams,karen81@example.net,Colombia,2020-08-02,0,Lead,Python,0.3,0.6
Heather,Hayes,alynch@example.com,Mexico,2024-09-25,9,Junior,Java,0.6,1.5
Robert,Armstrong,kimberly32@example.net,Brazil,2021-06-27,13,Senior,Data Engineering,6.3,2.2
Kenneth,Williams,holmesemily@example.net,USA,2023-07-05,2,Mid,SQL,2.2,9.7
Holly,Henry,qperez@example.org,USA,2022-05-03,3,Junior,Python,0.1,3.0
Sabrina,Martin,dunnjames@example.org,Mexico,2024-03-27,1,Junior,Data Engineering,9.0,4.7
Shawna,Rivera,susan19@example.net,USA,2021-06-26,4,Lead,SQL,0.9,2.6
Sarah,Donovan,william32@example.org,Ecuador,2022-12-26,6,Senior,C++,0.2,8.2
Laura,Kim,annette55@example.com,Colombia,2020-11-23,7,Senior,Java,0.7,8.0
David,Bennett,kevinjenkins@example.net,Brazil,2021-07-06,0,Mid,JavaScript,8.1,6.5
Julian,Campos,zbryant@example.net,Ecuador,2020-12-01,0,Senior,SQL,3.3,9.9
Cynthia,Mcintyre,whitneycobb@example.org,Brazil,2020-05-18,3,Mid,JavaScript,5.7,2.5
Thomas,Cummings,cgarcia@example.org,Argentina,2023-02-12,6,Mid,Java,3.6,3.3
Heather,Stuart,angela41@example.net,Brazil,2024-07-27,10,Senior,Data Engineering,4.5,6.6
Katherine,Rodriguez,coopercalvin@example.com,Brazil,2024-09-28,4,Junior,SQL,9.3,8.5
Ashley,Richard,oadams@example.org,Mexico,2020-10-25,3,Senior,JavaScript,0.4,4.3
Rachel,Mccullough,bruceedwin@example.com,Colombia,2021-12-13,5,Junior,SQL,9.5,5.8
Elizabeth,Willis,anthony66@example.net,Ecuador,2021-08-11,2,Senior,Python,9.1,3.4
